"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","430","TC-UI-05 - LOGIN COM USUÁRIO INEXISTENTE","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","523","TC-UI-08 - FILTRO DE PRODUTOS POR PREÇO DECRESCENTE","filtro.spec.ts","2026-05-16","passed","2026-05-16","","Filtros - Sauce Demo","",""
"","1417","TC-UI-06 - LOGOUT DA APLICAÇÃO","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","503","TC-UI-10 - FILTRO DE PRODUTOS POR NOME Z-A","filtro.spec.ts","2026-05-16","passed","2026-05-16","","Filtros - Sauce Demo","",""
"","486","TC-UI-01 - LOGIN COM USUÁRIO PADRÃO","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","406","TC-UI-03 - LOGIN COM CAMPOS VAZIOS","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","679","TC-UI-11 - FLUXO COMPLETO DE COMPRA","fluxo_compra.spec.ts","2026-05-16","passed","2026-05-16","","Fluxo de Compra - Sauce Demo","",""
"","685","TC-UI-14 - REMOÇÃO DE MÚLTIPLOS ITENS DO CARRINHO","fluxo_compra.spec.ts","2026-05-16","passed","2026-05-16","","Fluxo de Compra - Sauce Demo","",""
"","437","TC-UI-04 - LOGIN COM SENHA INCORRETA","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","519","TC-UI-09 - FILTRO DE PRODUTOS POR NOME A-Z","filtro.spec.ts","2026-05-16","passed","2026-05-16","","Filtros - Sauce Demo","",""
"","4123","TC-UI-15 - NAVEGAÇÃO ENTRE PÁGINAS","navegacao_paginas.spec.ts","2026-05-16","passed","2026-05-16","","Navegação entre Páginas - Sauce Demo","",""
"","550","TC-UI-13 - REMOÇÃO DE UM ITEM DO CARRINHO","fluxo_compra.spec.ts","2026-05-16","passed","2026-05-16","","Fluxo de Compra - Sauce Demo","",""
"","441","TC-UI-02 - LOGIN COM USUÁRIO BLOQUEADO","login.spec.ts","2026-05-16","passed","2026-05-16","","Login - Sauce Demo","",""
"","692","TC-UI-07 - FILTRO DE PRODUTOS POR PREÇO CRESCENTE","filtro.spec.ts","2026-05-16","passed","2026-05-16","","Filtros - Sauce Demo","",""
